Time_s,Voltage_V,Current_A,Temperature_C,Speed_kmh,SOC_Actual_pct,SOC_Model_pct,SOC_Error_pct,SOH_Actual_pct,SOH_Model_pct,SOH_Error_pct
5.417,425.0531,-49.00,25.30,24.1,78.2767,78.2101,0.0665,99.9916,99.9882,0.0034
5.534,425.0106,-49.00,25.30,24.2,78.2177,78.2332,0.0155,99.9913,99.9764,0.0150
5.651,425.0180,-49.00,25.30,24.3,78.1587,78.1348,0.0240,99.9911,99.9839,0.0071
5.767,424.9410,-49.00,25.30,24.5,78.1002,78.0403,0.0599,99.9908,100.0000,0.0092
5.884,424.9182,-49.00,25.30,24.6,78.0413,78.1083,0.0670,99.9905,100.0000,0.0095
6.000,424.8860,-49.00,25.30,24.7,77.9828,78.0484,0.0656,99.9902,99.9903,0.0001
6.101,424.7511,-49.00,25.30,24.7,77.9319,78.0314,0.0995,99.9899,99.9870,0.0030
6.219,424.7165,-49.00,25.30,24.8,77.8724,77.8288,0.0436,99.9897,99.9990,0.0093
6.322,424.7022,-49.00,25.30,24.9,77.8205,77.7706,0.0498,99.9894,99.9940,0.0046
6.434,424.6929,-49.00,25.30,24.9,77.7640,77.8223,0.0583,99.9891,99.9752,0.0140
6.551,424.6398,-49.00,25.30,25.0,77.7050,77.7975,0.0925,99.9888,99.9914,0.0025
6.667,424.5560,-49.00,25.30,25.0,77.6465,77.7337,0.0871,99.9886,100.0000,0.0114
6.784,424.5364,-49.00,25.30,25.1,77.5875,77.5315,0.0561,99.9883,99.9761,0.0121
6.901,425.5270,-69.32,25.32,26.2,77.5314,77.4352,0.0962,99.9880,99.9768,0.0112
7.017,426.8426,-97.85,25.45,29.7,77.4272,77.5138,0.0866,99.9875,99.9678,0.0197
7.118,427.3468,-110.10,25.63,32.5,77.3174,77.3021,0.0154,99.9870,99.9720,0.0150
7.235,427.6199,-117.35,25.85,35.5,77.1794,77.1806,0.0012,99.9863,99.9975,0.0112
7.351,427.6789,-120.82,26.04,38.2,77.0367,76.9723,0.0644,99.9856,99.9770,0.0086
7.467,427.6862,-122.48,26.21,40.6,76.8912,76.8381,0.0531,99.9849,99.9609,0.0240
7.568,427.6150,-123.19,26.34,42.6,76.7635,76.7852,0.0217,99.9843,99.9671,0.0172
7.684,427.4929,-123.61,26.46,44.6,76.6162,76.6849,0.0688,99.9836,99.9755,0.0081
7.802,427.3425,-123.82,26.56,46.5,76.4659,76.3769,0.0891,99.9828,99.9856,0.0028
7.917,427.2648,-123.91,26.63,48.2,76.3194,76.3447,0.0253,99.9821,99.9638,0.0183
8.018,427.1828,-123.95,26.69,49.6,76.1906,76.1618,0.0288,99.9815,99.9696,0.0119
8.135,427.0463,-123.98,26.74,51.0,76.0414,76.0608,0.0194,99.9808,99.9683,0.0125
8.251,426.9164,-123.99,26.77,52.3,75.8934,75.8940,0.0006,99.9800,99.9554,0.0246
8.367,426.8440,-123.99,26.81,53.5,75.7454,75.6482,0.0972,99.9793,99.9818,0.0025
8.469,426.7087,-124.00,26.83,54.5,75.6153,75.5743,0.0410,99.9787,99.9837,0.0050
8.584,426.6018,-124.00,26.85,55.4,75.4686,75.5336,0.0650,99.9780,99.9665,0.0114
8.701,426.4460,-124.00,26.86,56.4,75.3194,75.2715,0.0479,99.9773,99.9728,0.0045
8.817,426.3277,-124.00,26.88,57.2,75.1714,75.2020,0.0306,99.9765,99.9737,0.0028
8.918,426.2329,-124.00,26.88,57.8,75.0425,75.0370,0.0056,99.9759,99.9933,0.0174
9.021,426.1194,-124.00,26.89,58.5,74.9111,74.8943,0.0168,99.9753,99.9645,0.0108
9.134,425.9862,-124.00,26.90,59.1,74.7670,74.7554,0.0116,99.9746,99.9557,0.0189
9.235,425.9422,-124.00,26.90,59.6,74.6381,74.5470,0.0911,99.9739,99.9816,0.0077
9.351,425.8099,-124.00,26.91,60.1,74.4901,74.5279,0.0377,99.9732,99.9697,0.0035
9.468,425.6994,-124.00,26.91,60.6,74.3409,74.3305,0.0103,99.9725,99.9911,0.0186
9.585,425.5045,-124.00,26.91,61.1,74.1916,74.1278,0.0638,99.9718,99.9849,0.0131
9.701,425.4283,-124.00,26.91,61.5,74.0436,74.0061,0.0375,99.9711,99.9864,0.0153
9.818,425.3621,-124.00,26.92,61.8,73.8944,73.8348,0.0596,99.9703,99.9781,0.0078
9.935,425.1901,-124.00,26.92,62.2,73.7451,73.8157,0.0706,99.9696,99.9789,0.0093
10.051,425.0504,-124.00,26.92,62.5,73.5971,73.6719,0.0748,99.9689,99.9526,0.0163
10.152,424.9421,-124.00,26.92,62.7,73.4683,73.4718,0.0035,99.9683,99.9838,0.0155
10.267,424.8243,-124.00,26.92,63.0,73.3216,73.3229,0.0014,99.9675,99.9693,0.0018
10.368,424.7120,-124.00,26.92,63.2,73.1927,73.0934,0.0993,99.9669,99.9698,0.0029
10.485,424.6740,-124.00,26.92,63.4,73.0435,73.0745,0.0310,99.9662,99.9780,0.0118
10.601,424.4751,-124.00,26.92,63.6,72.8955,72.9898,0.0943,99.9655,99.9412,0.0242
10.718,424.3960,-124.00,26.92,63.8,72.7462,72.7313,0.0149,99.9647,99.9641,0.0006
10.835,424.3050,-124.00,26.92,63.9,72.5970,72.5839,0.0131,99.9640,99.9672,0.0031
10.952,424.1114,-124.00,26.92,64.1,72.4477,72.4170,0.0307,99.9633,99.9532,0.0101
11.068,424.0430,-124.00,26.92,64.2,72.2997,72.3294,0.0297,99.9626,99.9753,0.0127
11.185,423.8820,-124.00,26.92,64.3,72.1505,72.1508,0.0003,99.9619,99.9650,0.0031
11.302,423.8263,-124.00,26.92,64.5,72.0012,72.0366,0.0353,99.9611,99.9716,0.0104
11.417,423.6698,-124.00,26.92,64.6,71.8545,71.8480,0.0065,99.9604,99.9817,0.0213
11.518,423.5319,-124.00,26.92,64.6,71.7257,71.6357,0.0899,99.9598,99.9624,0.0026
11.635,423.4318,-124.00,26.92,64.7,71.5764,71.6041,0.0277,99.9591,99.9818,0.0227
11.751,423.3588,-124.00,26.92,64.8,71.4284,71.5041,0.0757,99.9583,99.9427,0.0156
11.868,423.1864,-124.00,26.92,64.9,71.2792,71.3639,0.0848,99.9576,99.9729,0.0153
11.984,423.0589,-124.00,26.92,64.9,71.1312,71.1905,0.0593,99.9569,99.9715,0.0146
12.085,423.0114,-124.00,26.92,65.0,71.0023,70.9211,0.0812,99.9563,99.9776,0.0213
12.201,422.8963,-124.00,26.92,65.0,70.8543,70.8841,0.0298,99.9556,99.9483,0.0072
12.318,422.7799,-124.00,26.92,65.1,70.7051,70.6518,0.0532,99.9548,99.9716,0.0167
12.419,422.7003,-124.00,26.92,65.1,70.5762,70.5824,0.0062,99.9542,99.9453,0.0089
12.534,422.5335,-124.00,26.92,65.2,70.4295,70.4822,0.0527,99.9535,99.9769,0.0235
12.635,422.4527,-124.00,26.92,65.2,70.3007,70.3936,0.0929,99.9529,99.9363,0.0165
12.751,422.3061,-124.00,26.92,65.2,70.1527,70.0958,0.0569,99.9521,99.9415,0.0106
12.852,422.2173,-124.00,26.92,65.3,70.0238,70.0595,0.0356,99.9515,99.9290,0.0225
12.968,422.1030,-124.00,26.92,65.3,69.8759,69.9725,0.0966,99.9508,99.9454,0.0054
13.069,422.0308,-124.00,26.92,65.3,69.7470,69.7726,0.0256,99.9502,99.9646,0.0144
13.184,421.8462,-124.00,26.92,65.3,69.6003,69.6915,0.0912,99.9495,99.9268,0.0227
13.285,421.7877,-124.00,26.92,65.4,69.4715,69.4270,0.0445,99.9488,99.9354,0.0134
13.401,417.4632,-39.38,26.69,65.2,69.4137,69.4716,0.0579,99.9486,99.9412,0.0073
13.518,415.4688,1.03,26.34,65.0,69.3971,69.3481,0.0490,99.9485,99.9690,0.0206
13.634,414.5518,20.29,26.06,64.8,69.4129,69.4558,0.0429,99.9484,99.9289,0.0195
13.751,414.0648,29.45,25.86,64.6,69.4443,69.4227,0.0216,99.9482,99.9669,0.0186
13.867,413.9474,33.76,25.70,64.4,69.4827,69.5813,0.0986,99.9481,99.9487,0.0007
13.968,413.8240,35.56,25.60,64.2,69.5190,69.5878,0.0689,99.9479,99.9389,0.0090
14.084,413.8404,36.57,25.51,64.0,69.5622,69.5465,0.0157,99.9477,99.9560,0.0083
14.201,413.8616,36.98,25.44,63.8,69.6065,69.5906,0.0159,99.9475,99.9665,0.0191
14.318,413.8931,37.12,25.38,63.6,69.6511,69.7024,0.0513,99.9472,99.9337,0.0135
14.434,413.9371,37.13,25.34,63.4,69.6954,69.7834,0.0880,99.9470,99.9298,0.0172
14.535,413.9635,37.08,25.31,63.3,69.7340,69.7323,0.0017,99.9468,99.9472,0.0003
14.651,413.9234,36.99,25.28,63.1,69.7782,69.7406,0.0376,99.9466,99.9578,0.0112
14.767,414.0092,36.89,25.26,62.9,69.8223,69.7588,0.0635,99.9464,99.9455,0.0009
14.884,414.0706,36.77,25.24,62.7,69.8666,69.7791,0.0875,99.9462,99.9303,0.0159
15.001,414.1197,36.66,25.22,62.5,69.9108,69.8895,0.0213,99.9460,99.9584,0.0124
15.117,414.1378,36.54,25.21,62.3,69.9544,69.9969,0.0425,99.9458,99.9650,0.0192
15.218,414.1241,36.45,25.20,62.1,69.9924,69.8944,0.0979,99.9456,99.9659,0.0203
15.334,414.2565,36.33,25.19,61.9,70.0358,69.9721,0.0637,99.9454,99.9263,0.0191
15.451,414.2327,36.21,25.19,61.7,70.0794,70.0852,0.0058,99.9452,99.9654,0.0203
15.568,414.2649,36.10,25.18,61.6,70.1229,70.1614,0.0384,99.9449,99.9513,0.0063
15.685,414.3126,35.98,25.18,61.4,70.1663,70.0776,0.0887,99.9447,99.9626,0.0179
15.802,414.3875,35.87,25.17,61.2,70.2095,70.1969,0.0127,99.9445,99.9548,0.0103
15.917,414.3679,35.75,25.17,61.0,70.2519,70.3352,0.0833,99.9443,99.9669,0.0226
16.018,414.4945,35.65,25.17,60.8,70.2890,70.2821,0.0069,99.9441,99.9403,0.0038
16.134,414.5188,35.54,25.17,60.6,70.3315,70.4251,0.0936,99.9439,99.9253,0.0186
16.235,414.5221,35.44,25.17,60.5,70.3683,70.3620,0.0063,99.9437,99.9383,0.0054
16.351,414.6116,35.33,25.16,60.3,70.4105,70.3543,0.0563,99.9435,99.9573,0.0138
16.468,414.5612,35.22,25.16,60.1,70.4530,70.4981,0.0451,99.9433,99.9243,0.0191
16.584,414.6901,35.10,25.16,59.9,70.4949,70.5886,0.0937,99.9431,99.9600,0.0168
16.701,414.7178,34.99,25.16,59.7,70.5371,70.5775,0.0404,99.9429,99.9391,0.0038
16.817,414.7643,34.88,25.16,59.5,70.5788,70.6356,0.0568,99.9427,99.9640,0.0213
16.918,414.7951,34.78,25.16,59.4,70.6150,70.5855,0.0295,99.9425,99.9255,0.0171
17.021,414.7934,34.69,25.16,59.2,70.6518,70.6112,0.0406,99.9424,99.9448,0.0024
17.134,414.8147,34.58,25.15,59.0,70.6920,70.7708,0.0787,99.9422,99.9533,0.0111
17.251,414.8582,34.47,25.15,58.8,70.7336,70.7311,0.0024,99.9420,99.9628,0.0208
17.367,414.9342,34.35,25.15,58.7,70.7746,70.7805,0.0059,99.9418,99.9175,0.0243
17.468,414.9835,34.26,25.15,58.5,70.8103,70.8626,0.0523,99.9416,99.9630,0.0214
17.584,414.9632,34.15,25.15,58.3,70.8511,70.8272,0.0239,99.9414,99.9465,0.0051
17.685,415.0481,34.05,25.15,58.2,70.8865,70.8963,0.0098,99.9412,99.9244,0.0168
17.801,415.0165,33.94,25.15,58.0,70.9271,70.8820,0.0450,99.9410,99.9563,0.0153
17.917,415.0601,33.83,25.15,57.8,70.9675,71.0074,0.0399,99.9408,99.9203,0.0205
18.020,415.1494,33.74,25.15,57.6,71.0033,71.0275,0.0242,99.9407,99.9345,0.0062
18.134,415.1069,33.63,25.15,57.5,71.0428,71.1077,0.0649,99.9405,99.9262,0.0143
18.251,415.2058,33.52,25.14,57.3,71.0832,71.1393,0.0561,99.9403,99.9332,0.0071
18.368,415.2559,33.42,25.14,57.1,71.1235,71.0518,0.0716,99.9401,99.9389,0.0011
18.484,415.2696,33.31,25.14,56.9,71.1633,71.0731,0.0902,99.9399,99.9440,0.0041
18.585,415.2635,33.21,25.14,56.8,71.1978,71.1605,0.0373,99.9397,99.9241,0.0156
18.701,415.3477,33.11,25.14,56.6,71.2374,71.2347,0.0027,99.9395,99.9412,0.0017
18.818,415.3267,33.00,25.14,56.4,71.2772,71.2989,0.0217,99.9393,99.9513,0.0119
18.935,415.3862,32.89,25.14,56.2,71.3168,71.3743,0.0575,99.9391,99.9443,0.0052
19.051,415.4361,32.79,25.14,56.1,71.3560,71.4483,0.0922,99.9389,99.9612,0.0222
19.167,415.5202,32.68,25.14,55.9,71.3951,71.3994,0.0043,99.9388,99.9179,0.0208
19.284,415.5449,32.58,25.14,55.7,71.4343,71.4205,0.0138,99.9386,99.9145,0.0241
19.401,415.5743,32.47,25.14,55.5,71.4735,71.4295,0.0439,99.9384,99.9299,0.0085
19.524,415.5660,32.37,25.13,55.3,71.5145,71.6072,0.0927,99.9382,99.9153,0.0229
19.635,415.6714,32.26,25.13,55.2,71.5514,71.6345,0.0831,99.9380,99.9198,0.0182
19.751,415.6605,32.16,25.13,55.0,71.5898,71.5911,0.0012,99.9378,99.9565,0.0187
19.868,415.7438,32.06,25.13,54.8,71.6285,71.7090,0.0805,99.9376,99.9302,0.0074
19.984,415.7406,31.95,25.13,54.7,71.6667,71.7037,0.0370,99.9374,99.9325,0.0050
